version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,payload,std_dev_payload,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,68,DF,0,64,6,0,1592204094.452788,52590,1885,8,0,PA,502,0,3,0,1.000987,7,3.1353224576716583,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,19.031045,19.031045,0.996065,1.005265,0.0018085886908392353,1640.0,82.0,82.0,0.0,20.0,320.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204095.455252,52590,1885,8,0,PA,502,0,3,0,1.002464,4,3.121722658176193,0.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0,0.0,0.0,20.033509,20.033509,0.996065,1.005265,0.0017701087232442146,1722.0,82.0,82.0,0.0,21.0,336.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204096.457689,52590,1885,8,0,PA,502,0,3,0,1.002437,7,3.043024810940588,0.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,0.0,0.0,21.035946,21.035946,0.996065,1.005265,0.0017332736986078437,1804.0,82.0,82.0,0.0,22.0,352.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204097.458718,52590,1885,8,0,PA,502,0,3,0,1.001029,5,3.028960741674143,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,0.0,0.0,22.036975,22.036975,0.996065,1.005265,0.0016977529515261002,1886.0,82.0,82.0,0.0,23.0,368.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204098.459831,52590,1885,8,0,PA,502,0,3,0,1.001113,8,2.962576497600059,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,23.038088,23.038088,0.996065,1.005265,0.00166293713323472,1968.0,82.0,82.0,0.0,24.0,384.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204099.462263,52590,1885,8,0,PA,502,0,3,0,1.002432,4,2.9908493081599716,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,24.04052,24.04052,0.996065,1.005265,0.0016340800274869905,2050.0,82.0,82.0,0.0,25.0,400.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204100.463651,52590,1885,8,0,PA,502,0,3,0,1.001388,2,2.9297326385411577,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,25.041908,25.041908,0.996065,1.005265,0.001600801823045772,2132.0,82.0,82.0,0.0,26.0,416.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204101.465203,52590,1885,8,0,PA,502,0,3,0,1.001552,8,2.912043955712207,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,26.04346,26.04346,0.996065,1.005265,0.001568648545232978,2214.0,82.0,82.0,0.0,27.0,432.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204102.467574,52590,1885,8,0,PA,502,0,3,0,1.002371,6,2.9382198853514274,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,27.045831,27.045831,0.996065,1.005265,0.0015440653466974106,2296.0,82.0,82.0,0.0,28.0,448.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204103.469257,52590,1885,8,0,PA,502,0,3,0,1.001683,2,2.8964762660766152,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,28.047514,28.047514,0.996065,1.005265,0.001515204226023953,2378.0,82.0,82.0,0.0,29.0,464.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204104.470794,52590,1885,8,0,PA,502,0,3,0,1.001537,6,2.8846886437583814,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,29.049051,29.049051,0.996065,1.005265,0.0014881973639570359,2460.0,82.0,82.0,0.0,30.0,480.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204105.472505,52590,1885,8,0,PA,502,0,3,0,1.001711,9,2.8476996995948385,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,30.050762,30.050762,0.996065,1.005265,0.0014623180684561526,2542.0,82.0,82.0,0.0,31.0,496.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204106.474098,52590,1885,8,0,PA,502,0,3,0,1.001593,3,2.9114715637743513,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,31.052355,31.052355,0.996065,1.005265,0.001437849638451705,2624.0,82.0,82.0,0.0,32.0,512.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204107.476492,52590,1885,8,0,PA,502,0,3,0,1.002394,3,2.8798340800858893,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,32.054749,32.054749,0.996065,1.005265,0.0014199502117435826,2706.0,82.0,82.0,0.0,33.0,528.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204108.479397,52590,1885,8,0,PA,502,0,3,0,1.002905,2,2.8488964420455862,0.0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,0.0,0.0,33.057654,33.057654,0.996065,1.005265,0.001412960862064931,2788.0,82.0,82.0,0.0,34.0,544.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204109.478724,52590,1885,8,0,PA,502,0,3,0,0.999327,9,2.8404140982910278,0.0,0.0,0.0,0.0,35.0,0.0,0.0,35.0,0.0,0.0,34.056981,34.056981,0.996065,1.005265,0.0014519709565433037,2870.0,82.0,82.0,0.0,35.0,560.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204110.479885,52590,1885,8,0,PA,502,0,3,0,1.001161,3,2.899110948318025,0.0,0.0,0.0,0.0,36.0,0.0,0.0,36.0,0.0,0.0,35.058142,35.058142,0.996065,1.005265,0.0014331044828705022,2952.0,82.0,82.0,0.0,36.0,576.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204111.482375,52590,1885,8,0,PA,502,0,3,0,1.002490,7,2.870540018881465,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,36.060632,36.060632,0.996065,1.005265,0.0014192214789627469,3034.0,82.0,82.0,0.0,37.0,592.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204112.482801,52590,1885,8,0,PA,502,0,3,0,1.000426,6,2.857738033247041,0.0,0.0,0.0,0.0,38.0,0.0,0.0,38.0,0.0,0.0,37.061058,37.061058,0.996065,1.005265,0.0014145766177579451,3116.0,82.0,82.0,0.0,38.0,608.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204113.484389,52590,1885,8,0,PA,502,0,3,0,1.001588,3,2.827135546467626,0.0,0.0,0.0,0.0,39.0,0.0,0.0,39.0,0.0,0.0,38.062646,38.062646,0.996065,1.005265,0.0013953662820802393,3198.0,82.0,82.0,0.0,39.0,624.0,16.0,16.0,0.0,0.0
4,5,0,68,DF,0,64,6,0,1592204114.486225,52590,1885,8,0,PA,502,0,3,0,1.001836,2,2.802971316201074,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,0.0,0.0,39.064482,39.064482,0.996065,1.005265,0.0013772108277121595,3280.0,82.0,82.0,0.0,40.0,640.0,16.0,16.0,0.0,0.0
