time,time_diff,payload,std_dev_payload,Avg_psh_flag,Duration_window_flow,Min_delta_time,Max_delta_time,StDev_delta_time,label
1592204017.332057,1.001227,6,2.5106554599917597,43.0,42.068321000000005,0.980159,1.0243149999999999,0.004992636282386267,1
1592204018.3337631,1.001706,5,2.4958014631197445,44.0,43.070027,0.980159,1.0243149999999999,0.004932856901136246,1
1592204019.335177,1.001414,6,2.46928125552256,45.0,44.071441,0.980159,1.0243149999999999,0.004875267963741842,1
1592204020.3360949,1.000918,4,2.4548610908168738,46.0,45.072359000000006,0.980159,1.0243149999999999,0.004820696646604707,1
1592204021.338737,1.002642,7,2.427822272666252,47.0,46.075001,0.980159,1.0243149999999999,0.004769269847245531,1
1592204022.3394911,1.0007540000000001,0,2.433617733766353,48.0,47.075755,0.980159,1.0243149999999999,0.0047188772183290725,1
1592204023.341388,1.001897,6,2.4879974439542094,49.0,48.077652,0.980159,1.0243149999999999,0.004668587970500061,1
1592204024.342577,1.0011889999999999,1,2.4745229618835403,50.0,49.078841,0.980159,1.0243149999999999,0.0046201069071324895,1
1592204025.346133,1.003556,4,2.4929722128370204,51.0,50.082397,0.980159,1.0243149999999999,0.004581002494374937,1
1592204026.346,0.9998670000000001,3,2.4681166909204277,52.0,51.082264,0.980159,1.0243149999999999,0.004541812776811462,1
1592204027.347039,1.001039,6,2.4496466959594376,53.0,52.083303,0.980159,1.0243149999999999,0.004497769222627489,1
1592204028.348622,1.001583,4,2.4385949975611316,54.0,53.084886,0.980159,1.0243149999999999,0.004454312259037973,1
